timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:02,1183847109_10318,28.847583800019724,77.12626684999562,347,254,93,30,41,0.732,26.8,0.948226,FRC2
2026-07-08T07:30:02,519440488_2170,28.73738550233168,77.16734270127739,220,125,95,32,56,0.571,42.9,1,FRC1
2026-07-08T07:30:02,76834899_960,28.61693810011026,77.28766349988258,944,609,335,20,31,0.645,35.5,0.972129,FRC3
2026-07-08T07:30:02,38116091_789,28.572845265072,77.24462004299579,1579,1090,489,29,42,0.69,31.0,0.999648,FRC3
2026-07-08T07:30:02,1159559381_12016,28.54417437397353,77.0078297939509,1138,1138,0,44,44,1.0,0.0,1,FRC3
2026-07-08T07:30:02,1184653691_5814,28.498412506264767,77.3016491313384,1721,1396,325,43,53,0.811,18.9,1,FRC1
2026-07-08T07:30:02,77770001_10767,28.670086233635608,77.16647486440381,590,433,157,22,30,0.733,26.7,0.941021,FRC3
2026-07-08T07:30:02,422584730_11660,28.55752240072102,76.92753008121655,981,981,0,42,42,1.0,0.0,1,FRC3
2026-07-08T07:30:02,766036525_3441,28.58630370000292,77.2242427499995,370,268,102,21,29,0.724,27.6,0.981527,FRC4
2026-07-08T07:30:02,172306021_9397,28.809137450005124,77.07972445002964,460,460,0,60,60,1.0,0.0,1,FRC4
2026-07-08T07:30:02,1077916786_4119,28.65090049969148,77.2323381105123,1077,704,373,17,26,0.654,34.6,0.996198,FRC3
2026-07-08T07:30:02,235103620_11526,28.56017405981834,77.01549123214811,513,513,0,36,36,1.0,0.0,1,FRC4
2026-07-08T07:30:02,1080438071_10082,28.71676779244684,77.0944989600839,1882,1220,662,24,37,0.649,35.1,0.998312,FRC2
2026-07-08T07:30:02,38699585_799,28.637964526614923,77.2264064179853,1293,597,696,12,26,0.462,53.8,0.998746,FRC3
2026-07-08T07:30:02,1154070005_4297,28.72751201909045,77.17926029335209,666,376,290,26,46,0.565,43.5,1,FRC1
2026-07-08T07:30:02,776652311_3477,28.621354828947982,77.30046730231618,311,235,76,28,37,0.757,24.3,0.994232,FRC3
2026-07-08T07:30:02,681929725_7833,28.64515631104873,77.106169018746,523,384,139,11,15,0.733,26.7,0.808061,FRC4
2026-07-08T07:30:02,1073864508_9901,28.75532807892416,77.1157167507687,721,509,212,24,34,0.706,29.4,0.992312,FRC3
2026-07-08T07:30:02,1306291759_10620,28.824893693009983,77.07414842238752,456,456,0,51,51,1.0,0.0,1,FRC4
2026-07-08T07:30:02,1274782010_4766,28.739693565714187,77.26118638296956,899,899,0,48,48,1.0,0.0,1,FRC3
2026-07-08T07:30:02,1203899003_4497,28.706943330353266,77.1684643853189,715,542,173,22,29,0.759,24.1,0.966259,FRC4
2026-07-08T07:30:02,168924273_6607,28.505615826312248,77.23897841841165,2140,1402,738,19,29,0.655,34.5,0.997235,FRC2
2026-07-08T07:30:02,78799866_9220,28.7361984617444,77.1653143616256,97,34,63,15,42,0.357,64.3,0.99,FRC2
2026-07-08T07:30:02,77743844_9106,28.700291290971748,77.15574715562008,704,460,244,17,26,0.654,34.6,0.964239,FRC4
2026-07-08T07:30:02,173133404_12364,28.542195833560434,77.29250811313072,2376,1854,522,32,41,0.78,22.0,1,FRC3
2026-07-08T07:30:02,1201874795_10348,28.810173451368,77.1184592033787,460,460,0,60,60,1.0,0.0,1,FRC4
2026-07-08T07:30:02,314638661_11614,28.577153698254303,76.8743029597452,2139,1810,329,33,39,0.846,15.4,0.827037,FRC2
2026-07-08T07:30:02,782774054_3511,28.62025800000121,77.21041655000535,131,96,35,19,26,0.731,26.9,0.81,FRC4
2026-07-08T07:30:02,1120022472_8492,28.55447620896645,77.23203609448547,1045,425,620,11,27,0.407,59.3,0.997383,FRC4
2026-07-08T07:30:02,1126929460_4238,28.71180271222937,77.22943810279551,122,122,0,22,22,1.0,0.0,1,FRC2
2026-07-08T07:30:02,422350600_10918,28.78313645864092,76.94929819731772,2100,1831,269,34,39,0.872,12.8,0.743841,FRC2
2026-07-08T07:30:02,24577381_613,28.60681392028704,77.22437369787586,75,75,0,41,41,1.0,0.0,1,FRC1
2026-07-08T07:30:02,210364586_6831,28.60175539704051,77.0544416565403,985,699,286,22,31,0.71,29.0,0.987584,FRC4
2026-07-08T07:30:02,682964521_7847,28.56534025000453,77.20022939999892,827,529,298,16,25,0.64,36.0,0.994722,FRC4
2026-07-08T07:30:02,203599271_6823,28.590361979413917,77.08320920219212,1579,1194,385,28,37,0.757,24.3,0.996557,FRC6
2026-07-08T07:30:02,170938134_5258,28.62747825023994,77.31704349981999,310,229,81,28,38,0.737,26.3,0.998956,FRC3
2026-07-08T07:30:03,379349375_10907,28.659535195892754,76.9902482177204,125,125,0,38,38,1.0,0.0,1,FRC4
2026-07-08T07:30:03,77617193_1086,28.661978857801408,77.23992644520263,110,84,26,33,43,0.767,23.3,1,FRC1
2026-07-08T07:30:03,1184378555_5798,28.51183575000228,77.31345965000627,557,453,104,13,16,0.812,18.8,0.91294,FRC4
2026-07-08T07:30:03,1050561832_3748,28.75830624558086,77.17765847133317,937,758,179,17,21,0.81,19.0,0.691635,FRC4
2026-07-08T07:30:03,1306497891_4947,28.70963851756227,77.28591492567888,313,313,0,20,20,1.0,0.0,1,FRC4
2026-07-08T07:30:03,1274781093_75,28.742653650087675,77.26213405014737,490,490,0,57,57,1.0,0.0,1,FRC2
2026-07-08T07:30:03,164702348_12346,28.55774815971238,77.28819484795332,1129,752,377,16,24,0.667,33.3,0.983467,FRC3
2026-07-08T07:30:03,570803639_2394,28.58700232091038,77.23398282683296,1483,1038,445,21,30,0.7,30.0,1,FRC4
