label,lat,lon
1272699863_10430,28.7325645979497,77.15211083474186
1312003262_5003,28.7335118502237,77.17902130023958
175774747_1554,28.669952908952293,77.26287938693689
77643398_9050,28.72133022648934,77.1404829934589
1271957904_520,28.79009748043149,77.14219362408288
171505934_10844,28.68176372143336,77.07382234762017
1272998250_4723,28.61620115016497,77.28564394977585
754138615_9731,28.73483755030277,77.15603580124726
1313008746_5065,28.67190945017987,77.26038490014699
696178605_2985,28.60514967968459,77.28788560004877
1312003261_5002,28.732846527011077,77.18052262172371
1271957905_521,28.797262051218134,77.14359156473878
760444564_8123,28.48125538503149,77.11474825810541
1081352292_11111,28.683569350000955,77.0133321499925
733740806_5380,28.62656300913378,77.3145887387114
258237312_12405,28.537250980885524,77.28601262789124
1322586170_552,28.82379485002008,77.13252105003025
1311999549_4994,28.727439850318262,77.20196525042412
749654825_5712,28.493146250032297,77.3031574504581
1081353663_11112,28.68339410000165,77.01615059998673
519445878_9649,28.698681618005065,77.12145049624543
77629864_9006,28.734252100075988,77.15649950021997
553321282_7128,28.59346702527715,77.16461656538954
78331491_9140,28.76240442689812,77.14664584398126
848907336_10994,28.688929145367656,76.95379664281963
1276018673_12164,28.55176478996038,77.04878921866404
1066010057_3794,28.673723798776017,77.25594247251395
729959838_3258,28.61678283868487,77.28656190538877
1125550297_10237,28.840790189727404,77.12764536507629
615472643_10937,28.66549515943425,77.0922112190541
739709594_174,28.63159521269395,77.32988856131384
1117997323_268,28.581787600028143,77.30339090012164
1184652572_5802,28.49935689408889,77.30000040298998
749654826_5713,28.49074044670958,77.30369249678816
519440491_2173,28.732193545681827,77.18322585121508
1312003264_5005,28.73118915059046,77.1874309003172
70220647_880,28.62859465417036,77.24681526741986
733740794_3287,28.621234036350025,77.2999008102617
1184652573_5803,28.49458555685833,77.30296042021848
293091496_9500,28.73723387012009,77.15459940625567
202671157_6786,28.593823376111853,77.16621572529873
77643452_10721,28.683289650005477,77.09523154995946
1184653691_5814,28.498412506264767,77.3016491313384
519440488_2170,28.73738550233168,77.16734270127739
76834899_960,28.61693810011026,77.28766349988258
1183847109_10318,28.847583800019724,77.12626684999562
38116091_789,28.572845265072,77.24462004299579
1159559381_12016,28.54417437397353,77.0078297939509
422584730_11660,28.55752240072102,76.92753008121655
77770001_10767,28.670086233635608,77.16647486440381
766036525_3441,28.58630370000292,77.2242427499995
1077916786_4119,28.65090049969148,77.2323381105123
172306021_9397,28.809137450005124,77.07972445002964
38699585_799,28.637964526614923,77.2264064179853
1080438071_10082,28.71676779244684,77.0944989600839
1154070005_4297,28.72751201909045,77.17926029335209
681929725_7833,28.64515631104873,77.106169018746
1306291759_10620,28.824893693009983,77.07414842238752
235103620_11526,28.56017405981834,77.01549123214811
776652311_3477,28.621354828947982,77.30046730231618
1274782010_4766,28.739693565714187,77.26118638296956
1073864508_9901,28.75532807892416,77.1157167507687
1203899003_4497,28.706943330353266,77.1684643853189
168924273_6607,28.505615826312248,77.23897841841165
1201874795_10348,28.810173451368,77.1184592033787
78799866_9220,28.7361984617444,77.1653143616256
77743844_9106,28.700291290971748,77.15574715562008
173133404_12364,28.542195833560434,77.29250811313072
782774054_3511,28.62025800000121,77.21041655000535
314638661_11614,28.577153698254303,76.8743029597452
1120022472_8492,28.55447620896645,77.23203609448547
422350600_10918,28.78313645864092,76.94929819731772
1126929460_4238,28.71180271222937,77.22943810279551
24577381_613,28.60681392028704,77.22437369787586
210364586_6831,28.60175539704051,77.0544416565403
203599271_6823,28.590361979413917,77.08320920219212
170938134_5258,28.62747825023994,77.31704349981999
682964521_7847,28.56534025000453,77.20022939999892
1184378555_5798,28.51183575000228,77.31345965000627
379349375_10907,28.659535195892754,76.9902482177204
164702348_12346,28.55774815971238,77.28819484795332
77617193_1086,28.661978857801408,77.23992644520263
570803639_2394,28.58700232091038,77.23398282683296
1274781093_75,28.742653650087675,77.26213405014737
1076252889_12598,28.525723250001377,77.27936825001848
1050561832_3748,28.75830624558086,77.17765847133317
1255882944_11190,28.68000655000377,77.08484724997152
1306497891_4947,28.70963851756227,77.28591492567888
202665381_10859,28.67017055059156,77.16542090979112
77004697_1008,28.596430250093643,77.29317694991747
1077642220_4106,28.65145840239566,77.20572394645998
278977065_11544,28.62578502845304,76.90595413017583
586687208_7500,28.54169467065229,77.11776043977837
1275944980_12126,28.57847582472563,77.00652027717024
1309546294_8889,28.55869757234572,77.05417263135095
1118936174_8477,28.55290512434433,77.05025070272647
176492685_1684,28.58597795000236,77.29349485003652
81061303_24,28.58000061669264,77.2955884866146
739709591_5390,28.630132852699195,77.32626414807251
169323875_6610,28.543416246480696,77.11620501593522
190261068_6713,28.525874392305283,77.10131881094023
71435200_920,28.578732325148163,77.30161246491157
76849306_19,28.57761622944116,77.28960367138384
684512045_5356,28.626385703877823,77.31496154705613
76842648_969,28.62292998866329,77.30453360509472
586684180_7486,28.53954700000966,77.11660109992128
1312967330_8947,28.544270933925745,77.11558778760701
76849167_974,28.578036894660528,77.27752768487743
1283496575_5541,28.62450125007257,77.30865389994165
1272998251_4724,28.616551638212343,77.28671344651134
190261045_6706,28.51229539092968,77.09316617299704
1283521609_4861,28.621568750036488,77.30045594997114
225718656_6833,28.51332460721611,77.09287183628282
1118959403_11971,28.558623962696338,77.04412110418482
203589999_11515,28.54009699788727,77.03793964885871
37683065_782,28.57862141867612,77.26916603399955
31097490_6159,28.581427738053414,77.14530919891486
665106695_11703,28.534797763030348,77.03493559510467
1116296125_11941,28.57294240002825,77.00709740033888
459988200_2129,28.579388474669493,77.29338668746257
76842646_5218,28.62458625005454,77.30890914996209
72002996_5191,28.62883168320012,77.32218167408332
28616600_6132,28.55881261097506,77.13347681895029
1275944972_12118,28.590939900000297,77.00886754999766
190261066_6712,28.527599650085577,77.1020687498259
76834898_959,28.6036548337072,77.2685561310336
739709592_172,28.630866154721765,77.32816179656201
1118959402_11970,28.558510786035605,77.04407107130918
555197217_2266,28.60491895991324,77.27137963956962
1183845908_4367,28.5785727461531,77.3014636274964
28746776_726,28.577126881823443,77.27894058332664
81061303_1379,28.58000061669264,77.2955884866146
1253124560_4643,28.57924575924795,77.26771669054187
555197219_2267,28.60891117319883,77.27875492380406
1275944981_12127,28.578623481341253,77.00689463429998
205771485_6829,28.54573021758676,77.12268346819816
81061270_22,28.58142127218609,77.29504818000866
28616605_6135,28.53010158785404,77.10390315622871
1241992402_4577,28.59875380000435,77.2032118500068
680551210_2873,28.610180415111923,77.22452394525766
1274776407_4744,28.748161520440974,77.19843942883196
1155810083_4305,28.66431025000433,77.20816145003336
605958422_2581,28.643618129651188,77.2683934033964
195207626_6779,28.606996437229277,77.12228140915767
1126670672_4232,28.6006001827004,77.1820928857966
28103855_691,28.645098649720385,77.225133941861
561759719_2291,28.59294187866152,77.24176231216286
164461743_6576,28.610240271935066,77.11456477684584
28103851_689,28.63217208759869,77.25264536882578
1323848856_6096,28.677953666004512,77.32351888457204
673792811_2828,28.58953088971429,77.22924463467362
554665389_2251,28.63357788290754,77.21666995337478
570758371_7344,28.539875113345875,77.21185591776847
578543604_2426,28.634366100009338,77.21708589997212
190333631_6748,28.52075524317933,77.16394251092667
1312775639_8926,28.56802515003752,77.23482089983911
1182578651_8607,28.55225881727412,77.11981265436167
277886172_309,28.68013444161143,77.32607843540667
1313158398_5075,28.593939119108366,77.24301321420214
581239046_5679,28.479393967323425,77.30543679860041
1078203275_11815,28.598883800000195,76.90693620000262
1286176441_10550,28.73170736521969,77.09169153334054
175804010_289,28.67650222417313,77.32519647172681
1046875075_3739,28.64015394788029,77.2832745815737
572511731_2421,28.623715468649944,77.2130581008707
594082031_12474,28.53483253637503,77.26820444917178
760536612_3424,28.61095091414656,77.21205093706702
1244887371_4583,28.691820550009812,77.19108039998751
586684178_7484,28.54354373429635,77.11690481585993
1069840805_474,28.80282180000544,77.14266415004244
1161756191_4329,28.676333367843423,77.20234860344114
658051951_2766,28.66746255001921,77.22909450009406
1250655849_12667,28.561730646079933,77.29298442705245
171501169_10834,28.680762254848705,77.15221940328222
554798489_2255,28.609848631573414,77.19133966591005
1101392939_6021,28.68876817016487,77.30801713825375
1035763366_11004,28.683215950033617,77.1463912001148
732001900_8041,28.561546131001048,77.16858247447243
80429849_1299,28.640234991459444,77.23363978636802
688280716_7908,28.52928820000029,77.21484285000314
594082009_12467,28.504930100008064,77.27780704997977
605840556_5965,28.67656091238996,77.32294258526926
191229346_12392,28.52870463937523,77.2712888378788
77882040_1181,28.69713422144704,77.18245685980818
1013996163_10996,28.679557450003312,77.09444419997479
374689514_10896,28.67117919981934,77.09307076098166
170460549_6619,28.52011610635344,77.20423897632773
423593939_2043,28.57358728999694,77.20958184838483
704527734_3029,28.576332000003863,77.25540110001516
77766256_10745,28.670471233329323,77.13870981074123
243056161_1778,28.658273024031104,77.28995664967685
679552312_2865,28.681519363104893,77.22270159844264
605958418_2577,28.646296249470986,77.26868455346376
